id,category,link
308,None,https://stockx.com/fr-fr/nike-shox-mr4-martine-rose-black
309,None,https://stockx.com/fr-fr/air-jordan-7-retro-black-olive
310,None,https://stockx.com/fr-fr/air-jordan-12-retro-playoffs-2022
311,None,https://stockx.com/fr-fr/air-jordan-1-retro-high-og-stealth
312,None,https://stockx.com/fr-fr/nike-dunk-low-archeo-pink-w
313,None,https://stockx.com/fr-fr/adidas-yeezy-boost-700-analog
314,None,https://stockx.com/fr-fr/air-jordan-1-low-fragment-design-x-travis-scott
315,None,https://stockx.com/fr-fr/nike-air-force-1-low-07-lv8-40th-anniversary-white-black
316,None,https://stockx.com/fr-fr/nike-lebron-20-christmas
317,None,https://stockx.com/fr-fr/new-balance-327-ws327-kb-w
318,None,https://stockx.com/fr-fr/air-air-jordan-1-mid-se-craft-taupe-haze
319,None,https://stockx.com/fr-fr/air-jordan-3-retro-cardinal-red
320,None,https://stockx.com/fr-fr/adidas-yeezy-boost-350-v2-core-black-white
321,None,https://stockx.com/fr-fr/nike-dunk-low-team-red
322,None,https://stockx.com/fr-fr/air-jordan-12-retro-stealth
323,None,https://stockx.com/fr-fr/air-jordan-1-mid-coconut-milk-w
324,None,https://stockx.com/fr-fr/air-jordan-11-retro-black-clear
325,None,https://stockx.com/fr-fr/air-jordan-1-mid-se-light-iron-ore-w
326,None,https://stockx.com/fr-fr/nike-air-vapormax-plus-white
327,None,https://stockx.com/fr-fr/air-jordan-9-retro-fire-red
328,None,https://stockx.com/fr-fr/air-jordan-1-low-se-craft-obsidian-french-blue-ashen-slate-white
329,None,https://stockx.com/fr-fr/air-jordan-5-retro-aqua-gs
330,None,https://stockx.com/fr-fr/adidas-yeezy-slide-ochre
331,None,https://stockx.com/fr-fr/air-jordan-5-retro-green-bean-2022
332,None,https://stockx.com/fr-fr/air-jordan-4-retro-white-oreo-2021
333,None,https://stockx.com/fr-fr/nike-kd-15-aunt-pearl
334,None,https://stockx.com/fr-fr/new-balance-2002r-protection-pack-mirage-grey
335,None,https://stockx.com/fr-fr/air-jordan-14-retro-ginger-2022
336,None,https://stockx.com/fr-fr/nike-dunk-low-magma-orange-w
337,None,https://stockx.com/fr-fr/new-balance-2002r-protection-pack-pink
338,None,https://stockx.com/fr-fr/nike-pg-6-hot-wheels
339,None,https://stockx.com/fr-fr/adidas-handball-spezial-navy-gum
340,None,https://stockx.com/fr-fr/nike-air-force-1-low-retro-anniversary-edition-since-1982
341,None,https://stockx.com/fr-fr/nike-sb-dunk-high-pawnshop-skate-co
